Time,Error
887,0.043166
888,0.043516
889,0.043600
890,0.061879
891,0.065669
892,0.071256
893,0.068116
894,0.062247
895,0.063067
896,0.056530
897,0.053753
898,0.053372
899,0.051924
900,0.051076
901,0.049054
902,0.050763
903,0.046672
904,0.043545
905,0.045230
906,0.041779
907,0.042059
908,0.039658
909,0.037517
910,0.033025
911,0.032018
912,0.037689
913,0.041427
914,0.041578
915,0.046510
916,0.042623
917,0.040548
918,0.036665
919,0.034986
920,0.036408
921,0.037549
922,0.038869
923,0.039614
924,0.038708
925,0.037614
926,0.053161
927,0.047984
928,0.046980
929,0.043218
930,0.039937
931,0.038365
932,0.041572
933,0.041343
934,0.040671
935,0.037864
936,0.035787
937,0.036359
938,0.051238
939,0.071073
940,0.064113
941,0.061505
942,0.055166
943,0.053453
944,0.052413
945,0.053989
946,0.074219
947,0.073982
948,0.073544
949,0.069425
950,0.064315
951,0.063549
952,0.061259
953,0.056500
954,0.051943
955,0.046997
956,0.042643
957,0.039333
958,0.038791
959,0.040539
960,0.043637
961,0.046505
962,0.050987
963,0.045785
964,0.041298
965,0.040336
966,0.043633
967,0.060852
968,0.058997
969,0.054053
970,0.053843
971,0.048554
972,0.047986
973,0.046419
974,0.043866
975,0.043254
976,0.038545
977,0.038454
978,0.038578
979,0.041323
980,0.041304
981,0.040822
982,0.036286
983,0.038651
984,0.038556
985,0.034397
986,0.030353
987,0.027941
988,0.027500
989,0.027071
990,0.025959
991,0.025724
992,0.025760
993,0.025605
994,0.024391
995,0.026835
996,0.028427
997,0.040149
998,0.040341
999,0.056217
1000,0.077046
